word,zipf,n_senses,first_gloss
deadman,2.43,2,"A long object, often a timber or log, buried to serve as an anchor for a wall or for stays."
imager,2.43,2,One who images or forms likenesses; a sculptor.
munger,2.43,2,One who mungs.
bandmate,2.43,1,Someone with whom one shares membership in a band.
dhamma,2.43,1,The teachings of Buddha.
leaguer,2.43,4,A siege.
laryngeal,2.43,3,An anatomical part (such as a nerve or artery) that supplies or is associated with the larynx.
bushland,2.43,1,"An area of land in a natural, uncultivated state; wilderness, open forest."
rager,2.43,3,One who rages.
rafale,2.43,1,"A short, intense burst of artillery fire from a number of weapons fired with the intention of overwhelming resistance or routing an attacking force."
cheong,2.42,1,Any of various Korean sweet syrups and fruit preserves.
presale,2.42,2,"The sale of something privately, before it is available to the public"
milla,2.42,1,"Spanish mile, a traditional Spanish unit of distance equivalent to about 1.4 km."
mochi,2.42,1,A small Japanese rice cake made from glutinous rice.
ecchi,2.42,2,"A genre, especially of anime and manga, featuring playful, tongue-in-cheek usage of sexualized scenes and situations such as double entendre or flirtation, while remaining non-pornographic. Often used"
pogue,2.42,4,A kiss.
hamada,2.42,1,"A high, desert landscape from which most of the sand has been removed by wind erosion"
scapegoating,2.42,1,The act of making somebody a scapegoat.
hexadecimal,2.42,2,"A number system with base sixteen, using the digits 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E and F, most used in computing as a hexadecimal digit can represent four bits, half a standard byte, and "
asshat,2.42,1,An obnoxiously ignorant person; a fool.
counterparty,2.42,1,The other party to a financial transaction.
survivorship,2.42,3,The state of being a survivor.
torching,2.42,2,An act of arson.
stache,2.42,1,A moustache.
arabica,2.42,3,"A plant of species Coffea arabica, native to Ethiopia, that yields coffee beans."
lomas,2.42,1,"Fog oases, areas of fog-watered vegetation in the coastal desert of Peru and northern Chile"
colonia,2.42,1,"a slum or shantytown near the US-Mexican border, generally without modern infrastructure"
festa,2.42,1,"A public holiday or feast day in Italy, Portugal, etc."
ferrier,2.42,1,a ferryman
barangay,2.42,2,"The smallest local government unit in the Philippines, a subdivision of a city or municipality."
castello,2.42,1,A municipality of San Marino.
booklist,2.42,2,Any list of books.
overexpression,2.41,1,The abnormal or artificial expression of a gene in increased quantity
playset,2.41,2,A themed collection of similar toys designed to work together to enact some action or event.
argan,2.41,2,"A tree of species Sideroxylon spinosum (formerly Argania spinosa), of southwestern Morocco, particularly prized for its oil."
picayune,2.41,4,A small coin of the value of six-and-a-quarter cents; a Spanish coin with a value of half a real; a fippenny bit.
sperling,2.41,2,A European smelt (Osmerus eperlanus).
eggman,2.41,1,A man who delivers eggs.
shruti,2.41,2,The smallest interval of pitch that can be detected or produced.
retweeting,2.41,1,A second or subsequent tweet
clift,2.41,1,A cliff.
preload,2.41,2,The end diastolic pressure that stretches the right or left ventricle of the heart to its greatest geometric dimensions under variable physiologic demand.
melanogaster,2.41,1,Any of several fungi of the genus Melanogaster.
scrapbooking,2.41,1,The process of making a scrapbook.
wargaming,2.41,1,The playing of war games.
spangler,2.41,1,Someone or something that spangles.
catawba,2.41,4,"The catawba grape, a cultivar of North American Vitis labrusca."
biochem,2.41,1,Biochemistry (science or industry).
dicking,2.41,1,An act of sexual penetration; phallation.
sobel,2.41,1,A government soldier who joined the rebels during the Sierra Leone civil war.
hamon,2.41,1,"A wavy line found on steel products that have been hardened differentially, with soft and hard steel sections, where the tempered steel is separated from the softer parts by the hamon."
cyclin,2.41,1,"Any of a group of proteins whose presence in a cell varies through its cycle, and that regulates this cycle by forming a complex with kinase"
