word,zipf,countable,uncountable,n_senses,first_gloss
offseason,3.43,0,0,1,Alternative form of off-season.
kemp,3.43,1,1,4,"A coarse or bristly hair, whisker; (in the plural) knotty hairs that will not felt."
irl,3.43,0,0,1,Alternative letter-case form of IRL.
wc,3.41,0,0,1,Initialism of word choice.
duffy,3.41,0,0,1,Archaic form of duppy (“Caribbean ghost or spirit”).
maj,3.41,0,1,1,Alternative form of maj..
gu,3.4,0,0,2,Alternative spelling of gue (“Shetland fiddle”).
womens,3.4,0,0,2,Alternative form of women (“plural of woman”).
oooh,3.39,0,0,1,Elongated form of ooh.
milf,3.39,0,0,1,Alternative letter-case form of MILF.
lv,3.39,1,1,10,Initialism of latent variable.
standalone,3.39,0,0,1,Alternative form of stand-alone.
conn,3.38,0,0,1,"The duty of directing a ship, usually used with the verb to have or to take and accompanied by the article ""the."""
shea,3.38,0,0,2,"A tree (Vitellaria paradoxa) indigenous to Africa, occurring in Mali, Cameroon, Congo, Côte d'Ivoire, Ghana, Guinea, Togo, Nigeria, Senegal, Sudan, Burkina Faso and Uganda."
louie,3.38,0,0,1,Alternative form of looey.
hoo,3.38,0,0,2,An uttering of the cry 'hoo'.
nb,3.37,0,0,1,Initialism of no ball.
judd,3.37,0,0,1,Alternative form of jud.
fulham,3.37,0,0,2,Alternative form of fullam (“loaded die”).
cheng,3.37,0,0,1,Alternative form of sheng (Chinese wind instrument)
ly,3.37,0,0,1,Abbreviation of light year.
demi,3.37,0,0,5,Alternative spelling of demy.
dodd,3.36,0,0,1,A rounded summit of a hill; a lower summit or shoulder to a hill
handheld,3.36,0,0,1,Alternative form of hand-held.
cher,3.36,0,0,1,Alternative spelling of 'cher.
frontline,3.35,0,0,1,Alternative form of front line.
fps,3.35,0,0,2,Initialism of frames per second.
rubin,3.35,0,0,1,Alternative form of rubine (“(obsolete) a ruby”).
hud,3.35,0,0,1,"A huck or hull, as of a nut."
manu,3.34,0,0,2,"A method of diving similar to a cannonball/bomb but with the lower back entering the water first, causing a large splash."
lizzie,3.34,0,0,1,Alternative form of lezzie (“lesbian”).
melvin,3.34,0,0,2,A wedgie performed from in front of the victim.
wp,3.34,0,0,1,Alternative form of WP.
tata,3.33,0,0,1,Alternative form of ta-ta (“breast”).
ww,3.33,0,0,1,Initialism of wrong word.
nye,3.32,0,0,1,Alternative form of nide (“nest of pheasants”).
df,3.32,0,0,1,Alternative form of DOF (“degree(s) of freedom”).
garth,3.31,0,0,6,A grassy quadrangle surrounded by cloisters.
francesca,3.31,0,0,1,Alternative form of francisca (“throwing axe used by the Franks”).
cg,3.31,0,0,1,Initialism of center of gravity.
palo,3.31,0,0,1,Any of the traditional musical forms in flamenco.
contra,3.31,0,0,6,A deal to swap goods or services.
siri,3.3,0,1,1,Alternative form of sirih (“plant”).
ami,3.3,0,0,1,Clipping of amigurumi.
pooh,3.29,1,1,3,"An instance of saying ""pooh""."
thankyou,3.29,0,0,1,Alternative spelling of thank-you.
ying,3.28,0,0,1,Alternative form of ching (“knife”).
cpi,3.28,0,0,2,Initialism of characters per inch.
mh,3.28,0,0,1,Initialism of mental health.
bj,3.28,0,0,1,Initialism of blow job.
lew,3.27,0,0,3,A French gold coin circulated in 15th-century Scotland.
jb,3.27,0,1,1,Initialism of jailbait.
str,3.27,0,1,7,Abbreviation of string(s).
matilda,3.26,0,0,1,"A bundle of possessions, often tied up in a sack; a swag."
isp,3.25,0,0,1,Abbreviation of ichnospecies.
abt,3.24,0,1,1,Initialism of all but thesis.
deadpool,3.24,0,0,2,Alternative form of dead pool (“a point at which a reservoir no longer has enough water”).
hua,3.24,0,0,2,Alternative form of hooer.
tue,3.24,0,0,1,Archaic form of tui (species of honeyeater).
bw,3.23,0,1,2,Abbreviation of bodyweight.
ctrl,3.22,0,0,1,Alternative form of ctrl. Abbreviation of control.
millie,3.2,0,0,2,"A mill worker, usually a young working-class woman working in the factories of Ireland's linen industry."
gis,3.2,0,1,1,Alternative spelling of jizz.
mrna,3.2,0,0,1,Alternative form of mRNA.
tia,3.2,0,0,1,Initialism of transient ischemic attack.
antifa,3.2,1,1,2,Clipping of antifascism.
har,3.2,0,0,1,A hinge.
lvl,3.18,0,0,1,Alternative letter-case form of LVL.
biggie,3.18,0,0,1,Alternative spelling of biggy.
adm,3.18,0,0,1,"Abbreviation of administer and related forms of that word (administering, administrate, administration. administrative, administrator, etc.)"
conner,3.17,0,0,2,A corkwing wrasse (Symphodus melops)
sn,3.17,0,0,1,Abbreviation of screenname.
frontman,3.17,0,0,2,Alternative spelling of front man: a person acting as the public face of an organization.
bama,3.17,0,0,1,Alternative form of bamma (“an unstylish rural person; a hick”).
spinoff,3.16,0,0,1,Alternative form of spin-off.
timeframe,3.16,0,0,1,Alternative spelling of time frame.
roadmap,3.16,0,0,1,Alternative form of road map.
ppm,3.15,0,0,2,Initialism of parts per million (10000 ppm = 1%).
bertha,3.15,0,0,1,A lace collar that covers the shoulders of a dress
gsm,3.15,0,0,1,Initialism of grams per square metre (unit for measuring the weight of paper).
carney,3.14,1,1,1,Alternative spelling of carny.
xo,3.13,0,0,1,"Alternative form of xoxo (an abbreviation for hugs and kisses, usually placed at the end of a letter.)"
hawkeye,3.13,0,0,1,Alternative spelling of hawk-eye.
creme,3.12,1,1,1,Alternative spelling of crème.
mooney,3.1,0,0,1,Alternative form of moony.
ppg,3.1,0,0,1,Alternative letter-case form of PPG.
nellie,3.1,0,0,2,"Clipping of high nellie, a type of roadster bicycle."
bpd,3.1,0,0,1,Initialism of barrels per day.
amtrak,3.09,0,0,1,Alternative form of amtrac (“amphibious vehicle”).
nbsp,3.09,0,0,1,Initialism of non-breaking space.
osha,3.09,0,1,1,"A perennial herb of species Ligusticum porteri, found in parts of the Rocky Mountains and northern New Mexico."
vo,3.09,0,0,1,Obsolete form of voe (“sea inlet”).
aga,3.08,0,0,1,Alternative spelling of agha.
barre,3.08,0,0,2,A handrail fixed to a wall used for ballet exercises.
runtime,3.08,1,1,1,Alternative spelling of run time.
boyz,3.07,0,0,1,Eye dialect spelling of boys; plural of boy.
goto,3.07,0,0,1,Alternative letter-case form of GOTO.
tron,3.07,0,0,1,Obsolete form of trone (“weighing machine”).
capcom,3.07,0,0,1,Alternative letter-case form of CAPCOM.
carlin,3.07,0,0,2,Alternative form of carline (“old woman”).
voiceover,3.07,0,0,1,Alternative form of voice-over.
ze,3.06,0,0,1,The name of the Cyrillic script letter З / з.
signup,3.06,0,0,1,Alternative spelling of sign-up.
dey,3.06,0,0,2,A servant who has charge of the dairy; a dairymaid.
rah,3.06,0,0,1,A young adult (often a student) who behaves in a stereotypically upper class manner; especially when associated with undeserved privilege or a lack of self-awareness.
kee,3.06,0,0,1,Alternative form of kye (“cow”).
banco,3.03,0,0,2,"A bank, especially that of Venice; formerly used to indicate bank money, as distinguished from the current money when it has become depreciated."
showbiz,3.03,0,1,1,Clipping of showbusiness.
tas,3.03,0,0,1,Alternative spelling of tass.
defenseman,3.03,0,0,1,Alternative spelling of defenceman.
suk,3.02,0,0,1,Alternative spelling of souq.
shh,3.01,0,1,2,An utterance of shh.
berwick,3.01,0,0,1,Alternative form of berewick
yd,3.01,0,0,1,Alternative form of yd..
cray,3.01,0,0,1,A crayfish or lobster.
tempe,3.01,1,1,1,Alternative form of tempeh.
sil,2.99,0,1,1,A yellowish pigment used by painters in ancient times.
phosphorylation,2.99,1,1,1,the process of transferring a phosphate group from a donor to an acceptor; often catalysed by enzymes.
convo,2.99,0,0,1,A conversation.
biometric,2.99,0,0,1,A metric that measures a biologic characteristic.
fic,2.99,1,0,1,A fictional story set within a preexisting fandom; a fanfic.
moisturizer,2.99,1,1,2,Something that causes moisture or a condition of wetness; something that makes things moist.
dojo,2.99,0,0,4,"A training facility, usually led by one or more sensei; a hall or room used for such training."
ged,2.99,0,0,2,The pike or luce.
hoon,2.99,0,0,6,A worthless person; a hooligan or lout.
atta,2.99,1,1,1,A type of wholegrain flour from the Indian subcontinent.
wishlist,2.99,0,0,1,Alternative form of wish list.
mong,2.99,0,0,6,"A mingling, mixture, or crowd."
garnett,2.99,0,0,1,A machine that reduces textile fibre waste to a fibrous state in preparation for carding
sora,2.99,0,0,1,"A rail (Porzana carolina) bird of North, Central, and northern South America."
waterhouse,2.99,0,0,1,A house on floats.
ringtone,2.99,0,0,2,The sound made by a telephone when ringing.
dougie,2.99,0,0,1,A hip-hop dance generally performed by moving one's body in a shimmy style and passing a hand through or near the hair on one's own head.
ritter,2.99,0,0,1,knight
aq,2.99,0,0,1,Abbreviation of aqueous solution.
paco,2.99,1,1,2,An alpaca.
freer,2.99,0,0,1,One who frees.
palazzo,2.99,0,0,1,"A large, palatial urban building in Italy."
whig,2.99,0,0,2,"Acidulated whey, sometimes mixed with buttermilk and sweet herbs, used as a cooling beverage."
bibi,2.99,0,0,2,A grandmother.
tait,2.99,0,0,1,The honey possum (Tarsipes rostratus).
arty,2.99,0,0,2,Artillery.
luxe,2.99,0,1,1,Luxury.
vert,2.99,1,1,7,"A green colour, now only in heraldry; represented in engraving by diagonal parallel lines 45 degrees counter-clockwise."
beal,2.99,0,0,1,A small inflammatory tumor; pustule.
oss,2.98,0,0,1,Alternative spelling of 'oss.
lala,2.98,0,1,2,Alternative form of ilala.
atari,2.98,0,0,1,A move that threatens the immediate capture of one or more stones.
saas,2.98,0,0,1,"A mother-in-law, especially the mother of the groom, who lives with the married couple."
clem,2.98,0,0,3,A brick or stone.
psu,2.98,0,0,1,Initialism of practical salinity unit.
caloric,2.98,0,1,1,The hypothetical medium of heat.
kamala,2.98,1,1,2,"A small or medium-sized tree (Mallotus philippensis) in the spurge family, found in Asia and Australia."
tranny,2.98,1,1,7,"A transgender person, especially a trans woman, or (especially historically) anyone who cross-dresses, especially MTF: a transvestite, drag queen, transgender person, etc."
menswear,2.98,0,1,1,"Men's clothing (and accessories), particularly in a retail context."
lutz,2.98,0,0,2,"A jump in which the skater takes off from the back outside edge of one skate, rotates counterclockwise and lands on the back outside edge of the other skate."
img,2.98,0,0,1,Alternative form of IMG.
airstrike,2.98,0,0,1,Alternative form of air strike.
ginny,2.98,0,0,1,A stationary engine for hauling coal out of a mine.
petri,2.98,0,0,1,Ellipsis of petri dish.
gre,2.98,0,0,1,Obsolete form of gree.
acton,2.97,0,1,2,Alternative form of aketon.
deen,2.97,0,1,1,religion; religiosity; the way of life of a pious Muslim
naga,2.97,0,0,3,A loincloth.
teleport,2.97,0,0,2,Synonym of teleporter (“science fiction device”).
sapiens,2.97,0,0,1,A human being (Homo sapiens).
arg,2.97,0,1,2,An argument; a value passed as a parameter.
webcast,2.97,0,0,1,A video and/or audio broadcast transmitted via the Internet
drury,2.97,0,0,4,"Love, especially sexual love; courtship, sex."
bhp,2.97,0,0,1,Initialism of brake horsepower.
ug,2.97,1,1,6,"A feeling of fear, horror or disgust."
collab,2.97,0,0,1,"A collaboration, especially a work produced by several musicians who do not usually work together."
dosing,2.97,0,0,1,The administration of a dose
mex,2.97,0,0,1,The mex of a subset of a well-ordered set is the smallest value from the whole set that does not belong to the subset.
simplex,2.97,0,0,4,"A generalization of a triangle or tetrahedron to an arbitrary dimension; more accurately, the convex hull of n+1 affinely independent points in n-dimensional space."
sith,2.97,0,0,3,"A journey, way."
diddy,2.97,0,0,4,A woman's breast.
leno,2.97,1,1,1,"A type of weave used to make light, open cotton fabric used for window curtains."
standup,2.97,1,1,1,Alternative form of stand-up.
jihadist,2.96,0,0,3,"One who participates in a jihad, an Islamic holy war or conflict; a mujahid."
maduro,2.96,0,0,1,"A cigar made with somewhat dark, medium-strength tobacco."
soe,2.96,0,0,1,"a large wooden vessel for carrying water, especially one to be carried on a pole between two people."
culver,2.96,0,0,2,"A dove or pigeon, now specifically of the species Columba palumbus."
nitrous,2.96,0,1,2,Nitrous oxide.
arable,2.96,0,1,1,"Land that can be cropped (i.e., land that is arable); land that is being cropped (i.e., land that is in the cropping phase of a crop rotation, currently being cropped rather than used as pasture or fa"
ight,2.96,0,1,1,possession
fantastical,2.96,0,0,1,Something that is fantastical.
crewe,2.96,0,0,1,"A group of people, especially in Louisiana, who support a Mardi Gras float in parades, as well as other charity work."
cade,2.96,0,0,3,An animal brought up or nourished by hand.
expendable,2.96,0,0,1,An expendable person or object; usually used in the plural.
kaya,2.96,0,1,3,"Torreya nucifera, the Japanese nutmeg tree."
awesomeness,2.96,0,1,1,The quality of being awesome.
fleur,2.96,0,0,1,fleur-de-lis
herzog,2.96,0,0,1,A German duke.
todo,2.96,0,0,1,Alternative form of to-do.
crabtree,2.96,0,0,1,Alternative form of crab tree.
troubleshooting,2.96,0,1,1,"The identification and resolution of problems, especially problems of a technical nature."
obstructive,2.96,0,0,1,One who obstructs something.
gabi,2.96,0,0,3,"Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato."
wack,2.96,0,0,3,An eccentric; an oddball; a weirdo.
ayn,2.96,0,0,2,"Synonym of ayin, the various letters representing the consonant /ʕ/ in Semitic languages."
