variant,canonical,verdict,variant_verdict,canonical_verdict,note,dist,plural_side,v_zipf,c_zipf,v_pos,c_pos,v_wikt,c_wikt,v_corpus,c_corpus,v_gloss,c_gloss
haematochezia,hematochezia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hematochezia.,"The presence of fresh (bright red) blood in stools, often due to lower"
haematocolpos,hematocolpos,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hematocolpos.,"A medical condition in which the vagina fills with menstrual blood, of"
haematoidin,hematoidin,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hematoidin.,bilirubin
haemoprotein,hemoprotein,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of hemoprotein.,Alternative spelling of hemeprotein.
haemosiderosis,hemosiderosis,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hemosiderosis.,An abnormal deposit of hemosiderin.
haemostasia,hemostasia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hemostasia.,Synonym of hemostasis.
hectometer,hectometre,reverse,,,,2,,0.0,0.0,,,noun:1,noun:1,,,US spelling of hectometre.,An SI unit of length equal to 100 metres. Symbol: hm
hemipteron,hemipteran,variant,,,,1,,0.0,0.0,,,noun:1,adj:1;noun:1,,,Alternative form of hemipteran.,A hemipter.
hesitator,hesitater,variant,,,,1,,0.0,0.0,,,noun:2,noun:1,,,Alternative spelling of hesitater.,One who hesitates; a ditherer.
hierarchisation,hierarchization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hierarchization.,The act or result of hierarchizing; the establishment of a hierarchy.
holloware,hollowware,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,NOUN:1,Alternative spelling of hollowware.,"Items such as sugar bowls, creamers, coffee pots, teapots, soup tureen"
homoiotherm,homeotherm,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of homeotherm.,Any warm-blooded animal: one that maintains a stable internal body tem
homotherm,homeotherm,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of homeotherm.,Any warm-blooded animal: one that maintains a stable internal body tem
honourableness,honorableness,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of honorableness.,The property of being honourable.
hoodmold,hoodmould,reverse,,,,1,,0.0,0.0,,,noun:1,noun:1,,,US standard spelling of hoodmould.,The outermost moulding which protrudes out of a wall over an archway (
hyalinisation,hyalinization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,NOUN:1,Alternative form of hyalinization.,The act or process of hyalinizing. A condition in which normal tissue 
hypercalciuria,hypercalcinuria,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hypercalcinuria.,The condition of high levels of calcium in the urine as caused by high
hyperlipaemia,hyperlipemia,variant,,,,1,,0.0,0.0,,,noun:2,noun:2,,,Alternative form of hyperlipemia.,Alternative form of hyperlipidemia.
hyperlipoidaemia,hyperlipoidemia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hyperlipoidemia.,An abnormally high level of lipoids in the blood.
hypermetropy,hypermetropia,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Dated form of hypermetropia.,Synonym of hyperopia.
hypervolaemia,hypervolemia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of hypervolemia.,An abnormal increase in the volume of blood circulating through the bo
hypesthesia,hypoesthesia,reverse,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of hypoesthesia.,partial loss of tactile sensation; numbness
hypnotiser,hypnotizer,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of hypnotizer.,"One who, or that which, hypnotizes."
hypostatisation,hypostatization,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,NOUN:1,Alternative spelling of hypostatization,The act or process of being hypostatized.
idoliser,idolizer,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of idolizer.,One who idolizes.
impendence,impendency,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of impendency.,The state of impending.
impenitency,impenitence,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Archaic form of impenitence.,"the property of being impenitent, of lacking penitence, of not being r"
jaguarondi,jaguarundi,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of jaguarundi.,"A medium-sized Central and South American wild cat, Herpailurus yagoua"
kabbalism,cabalism,variant,,,,2,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of cabalism.,The study of the Jewish Kabbalah.
kainogenesis,caenogenesis,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of caenogenesis.,The embryotic development of structures or characteristics not present
kaluresis,kaliuresis,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of kaliuresis.,The presence of (an excessive amount of) potassium in the urine
kenogenesis,caenogenesis,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of caenogenesis.,The embryotic development of structures or characteristics not present
kinaesthesia,kinesthesia,variant,,,,1,,0.0,0.0,,,noun:1,noun:4,,,Alternative spelling of kinesthesia.,Sensation or perception of motion.
kinaesthesis,kinesthesis,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of kinesthesis.,Ability to feel motion of the body and limbs.
kitambilla,ketembilla,variant,,,,2,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of ketembilla.,"Any plant of species Dovyalis hebecarpa, native to Sri Lanka and south"
knobkerrie,knobkerry,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of knobkerry.,Alternative form of knobkierie.
knockwurst,knackwurst,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,NOUN:1,Alternative spelling of knackwurst.,"A highly seasoned scalded sausage made from beef, pork, and fatty tiss"
laconicism,laconism,variant,,,,2,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of laconism.,Extreme brevity in expression.
lacrimator,lachrymator,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of lachrymator.,"Any substance that causes tears, such as tear gas."
laevulose,levulose,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of levulose (fructose),"D-fructose, the left-rotating stereoisomer of fructose."
lansat,langsat,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Archaic form of langsat.,The tree Lansium domesticum.
lanseh,langsat,variant,,,,3,,0.0,0.0,,,noun:1,noun:2,,,Dated form of langsat.,The tree Lansium domesticum.
leucorrhea,leukorrhea,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of leukorrhea.,"Thick, whitish vaginal discharge."
leukoma,leucoma,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of leucoma.,An opaque area or scar on the cornea of an eye
lexicalisation,lexicalization,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative spelling of lexicalization.,The act or process of lexicalizing.
lipaemia,lipemia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of lipemia.,An excess of lipids or lipoproteins in the blood.
lipidaemia,lipidemia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of lipidemia.,The presence of lipids in the blood (which is always true); especially
liquidiser,liquidizer,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Non-Oxford British English standard spelling of liquidizer.,A machine to chop or puree food; a blender.
logginess,loginess,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of loginess.,The state or quality of being logy.
lymphangiectasis,lymphangiectasia,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of lymphangiectasia.,dilation of the lymphatic vessels
lysogenisation,lysogenization,variant,,,,1,,0.0,0.0,,,noun:1,noun:2,,,Alternative form of lysogenization.,Conversion into a lysogenic form
magilp,megilp,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of megilp.,"A mixture of linseed oil with turpentine or mastic varnish, used as a "
mahlstick,maulstick,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative form of maulstick.,"A short stick with a pad on one end, used by a painter to steady their"
malodour,malodor,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of malodor.,An offensive odor.
manoeuvrer,maneuverer,variant,,,,2,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of maneuverer.,One who maneuvers.
memoriser,memorizer,variant,,,,1,,0.0,0.0,,,noun:1,noun:1,,,Alternative spelling of memorizer.,"One who, or that which, memorizes."
